Claim Number,COUNTA of Payee Name,SUM of  Amount 
-,0.36%," $ 70,000.00 "
—,0.36%," $ 900,000.00 "
‘,0.36%," $ 40,000.00 "
0816-cv26574,0.36%," $ 2,375.00 "
09-0378-cv-w-hfs,0.36%," $ 9,500.00 "
1 91 6-cv08671,0.36%," $ 10,000.00 "
13-0216-CV-W-BP-P,0.36%," $ 1,406.25 "
13-086683,0.36%," $ 5,812.50 "
13-CV00931,0.36%," $ 23,931.25 "
1316-cv15302,0.36%," $ 9,781.25 "
1316-cv15842,0.36%, $ 437.50 
1316-cv20174,0.36%, $ 687.50 
1316-cv20796,0.36%," $ 27,062.50 "
1316-cv23702,0.36%, $ 375.00 
14-CV-00944-FJG,0.36%," $ 8,687.50 "
1416-CV11691,0.36%," $ 6,312.50 "
1416-CV17104,0.36%," $ 1,000.00 "
1816-cv21655,0.36%," $ 3,125.00 "
1816-CV33631,0.36%, $ 93.75 
21 16-CV04753,0.36%, $ 375.00 
21-068883,0.36%, $ 355.88 
4:11-CV-01225-DGK,0.36%," $ 6,625.00 "
4:14-cv-00542-DW,0.36%," $ 2,125.00 "
4:14-CV-00874-BP,0.36%," $ 2,750.00 "
4:16-CV-00029-DGK,0.36%," $ 12,218.75 "
4:17-CV-00695-DGK,0.36%, $ 531.25 
4:18-cv-00319-BP,0.36%, $ 937.50 
4217-CV-00695-DGK,0.36%," $ 39,562.50 "
GC2003000001,0.36%," $ 13,541.25 "
GC2011016430,0.36%," $ 2,000.00 "
GC2011016431,0.36%," $ 29,312.50 "
GC2011016432,0.36%, $ 406.25 
GC2011016435,0.36%," $ 41,600.00 "
GC2013011143,0.36%, $ 375.00 
GC2013016433,0.36%," $ 2,250.00 "
GC2013016434,0.36%," $ 30,437.50 "
GC2014016427,0.36%," $ 1,062.50 "
GC2015016601,0.36%, $ 800.00 
GC2016000001,0.36%," $ 4,500.00 "
GC2017015211,0.36%," $ 1,250.00 "
GC2017016428,0.36%, $ 250.00 
GC2017017181,0.36%," $ 20,000.00 "
GC2018000001,0.36%, $ 46.25 
GC2018016939,0.36%, $ 380.00 
GC2018016966,0.36%," $ 75,000.00 "
GC2018016966-2,0.36%," $ 75,000.00 "
GC2018016966-3,0.36%," $ 25,000.00 "
